date,sla_percent,p99_latency,request_rate,error_rate,deploy_count
2024-10-01,99.97,145,342,0.0003,0
2024-10-02,99.95,162,318,0.0005,1
2024-10-03,99.91,201,290,0.0009,0
2024-10-04,99.88,187,305,0.0012,2
2024-10-05,99.93,155,280,0.0007,0
2024-10-06,99.99,138,241,0.0001,0
2024-10-07,100.00,129,198,0.0000,0
2024-10-08,99.96,158,335,0.0004,1
2024-10-09,99.94,171,349,0.0006,0
2024-10-10,99.89,195,362,0.0011,3
2024-10-11,99.72,312,389,0.0028,1
2024-10-12,99.85,228,371,0.0015,0
2024-10-13,99.99,141,298,0.0001,0
2024-10-14,100.00,131,205,0.0000,0
2024-10-15,99.97,148,341,0.0003,0
2024-10-16,99.93,168,327,0.0007,2
2024-10-17,99.88,199,354,0.0012,0
2024-10-18,99.91,183,340,0.0009,1
2024-10-19,99.95,161,320,0.0005,0
2024-10-20,100.00,135,256,0.0000,0
2024-10-21,99.99,130,210,0.0001,0
2024-10-22,99.96,155,338,0.0004,0
2024-10-23,99.94,172,345,0.0006,1
2024-10-24,99.90,188,358,0.0010,0
2024-10-25,99.68,389,401,0.0032,2
2024-10-26,99.82,247,382,0.0018,1
2024-10-27,99.98,142,290,0.0002,0
2024-10-28,99.99,133,218,0.0001,0
2024-10-29,99.97,149,332,0.0003,0
2024-10-30,99.92,177,312,0.0008,0
2024-10-31,99.85,221,298,0.0015,3
2024-11-01,99.89,196,345,0.0011,0
2024-11-02,99.94,164,329,0.0006,1
2024-11-03,99.99,137,262,0.0001,0
2024-11-04,100.00,128,211,0.0000,0
2024-11-05,99.97,151,340,0.0003,0
2024-11-06,99.95,165,351,0.0005,0
2024-11-07,99.91,190,368,0.0009,2
2024-11-08,99.88,204,380,0.0012,0
2024-11-09,99.93,170,355,0.0007,1
2024-11-10,99.99,139,270,0.0001,0
2024-11-11,100.00,127,208,0.0000,0
2024-11-12,99.96,157,336,0.0004,0
2024-11-13,99.94,169,348,0.0006,1
2024-11-14,99.90,192,361,0.0010,0
2024-11-15,99.78,278,385,0.0022,2
2024-11-16,99.87,214,370,0.0013,0
2024-11-17,99.99,140,285,0.0001,0
2024-11-18,99.98,134,220,0.0002,0
2024-11-19,99.97,152,338,0.0003,0
2024-11-20,99.93,173,325,0.0007,0
2024-11-21,99.89,198,350,0.0011,3
2024-11-22,99.86,218,365,0.0014,1
2024-11-23,99.94,166,332,0.0006,0
2024-11-24,99.99,136,268,0.0001,0
2024-11-25,99.99,132,215,0.0001,0
2024-11-26,99.96,154,335,0.0004,0
2024-11-27,99.95,163,342,0.0005,1
2024-11-28,99.91,186,355,0.0009,0
2024-11-29,99.88,201,372,0.0012,2
2024-11-30,99.93,172,340,0.0007,0
